Year,Crop,Region,Season,Area,Annual_Rainfall,Average_Temperature,Fertilizer_Used,Pesticide_Used,Humidity,Production,Yield_Per_Ha
2021,Soybean,Punjab,Whole Year,86.36,389.9,26.1,331.2,2.68,30.3,50811.04,588.36
2022,Rice,Haryana,Rabi,430.35,1071.6,34.8,148.9,4.19,34.7,1258122.48,2923.49
2010,Rice,West Bengal,Kharif,266.47,1800.8,29.9,207.2,13.73,74.3,883187.67,3314.4
2023,Millet,Rajasthan,Zaid,206.06,1562.1,39.6,55.0,1.95,48.9,260184.92,1262.67
2008,Groundnut,Tamil Nadu,Kharif,301.42,2451.7,30.9,331.4,14.99,55.2,497482.58,1650.46
2005,Soybean,Uttar Pradesh,Whole Year,317.84,2205.5,25.8,296.1,2.53,71.7,427967.87,1346.49
2012,Groundnut,Tamil Nadu,Zaid,22.35,431.4,38.3,131.0,11.92,37.3,28148.45,1259.44
2011,Sorghum,Andhra Pradesh,Whole Year,499.95,1896.7,16.3,186.6,19.96,84.1,517764.73,1035.63
2007,Barley,Haryana,Whole Year,182.6,1039.9,39.3,293.4,3.89,39.4,352198.77,1928.8
2014,Potato,Uttar Pradesh,Kharif,31.71,1800.6,33.8,175.4,5.59,77.7,849656.2,26794.58
2014,Soybean,Madhya Pradesh,Whole Year,426.31,1657.9,40.4,106.8,18.02,49.0,613263.51,1438.54
2023,Sugarcane,Bihar,Kharif,496.52,1406.7,21.8,231.5,12.71,46.9,34567973.84,69620.51
2018,Barley,Gujarat,Whole Year,408.36,2176.5,33.8,303.2,10.1,83.4,829600.22,2031.54
2006,Millet,Gujarat,Rabi,426.09,1859.1,36.9,162.3,11.47,65.9,499956.73,1173.36
2005,Sunflower,Bihar,Zaid,313.34,2257.0,34.0,92.6,6.26,43.4,536518.66,1712.26
2022,Groundnut,Karnataka,Kharif,461.24,919.5,20.7,340.3,17.18,30.2,376717.53,816.75
2011,Groundnut,Gujarat,Kharif,18.83,1065.9,22.4,138.5,15.03,93.2,25578.06,1358.37
2012,Barley,Maharashtra,Zaid,383.6,1668.3,30.3,229.5,13.03,58.0,823855.11,2147.69
2005,Rice,Haryana,Kharif,335.68,2426.2,27.1,292.0,18.67,55.8,734021.61,2186.67
2007,Groundnut,Maharashtra,Zaid,25.74,1117.5,34.8,161.0,11.77,33.3,36622.99,1422.8
2012,Millet,Bihar,Rabi,272.44,371.0,25.2,277.0,10.48,88.1,127468.73,467.88
2019,Sugarcane,West Bengal,Whole Year,258.02,1281.0,38.2,210.9,19.53,39.1,13077931.35,50685.73
2009,Maize,Karnataka,Rabi,346.08,1496.6,26.7,249.7,4.52,51.8,1174064.87,3392.47
2007,Sugarcane,Karnataka,Whole Year,39.69,2062.2,16.1,256.7,3.27,57.4,3247178.58,81813.52
2023,Sugarcane,Bihar,Zaid,402.83,1902.9,15.5,338.5,3.66,82.7,23129399.29,57417.27
2005,Groundnut,Bihar,Rabi,70.56,2422.3,32.5,279.7,19.79,53.4,112779.21,1598.34
2019,Sunflower,Gujarat,Whole Year,209.91,2021.9,29.6,142.5,13.22,64.5,386126.86,1839.49
2012,Wheat,Uttar Pradesh,Zaid,440.76,957.0,29.7,70.9,6.47,57.9,1684250.93,3821.24
2006,Potato,West Bengal,Whole Year,280.71,1711.0,36.3,50.7,5.36,50.3,8007679.95,28526.52
2007,Rice,Andhra Pradesh,Kharif,190.42,1778.9,25.1,366.5,1.6,91.5,404792.53,2125.79
2018,Potato,Haryana,Kharif,25.05,2495.6,41.9,379.7,3.07,81.8,269953.16,10776.57
2018,Groundnut,Haryana,Zaid,336.46,605.2,40.5,82.9,18.21,41.3,368166.08,1094.23
2015,Potato,Rajasthan,Whole Year,493.29,720.9,15.3,220.5,15.07,66.1,6109906.26,12386.03
2020,Rice,Tamil Nadu,Kharif,455.99,642.1,39.2,103.1,18.86,81.8,1056506.21,2316.95
2008,Sorghum,Gujarat,Rabi,358.93,1595.9,33.4,382.1,8.76,67.7,272625.91,759.55
2009,Wheat,Rajasthan,Whole Year,53.54,597.7,28.6,136.4,12.22,62.1,136401.3,2547.65
2018,Potato,Andhra Pradesh,Whole Year,120.48,1743.2,30.7,225.6,9.93,34.7,2907031.16,24128.74
2020,Groundnut,Karnataka,Kharif,94.24,2068.3,37.7,108.0,17.69,36.9,146305.12,1552.47
2022,Cotton,Bihar,Kharif,178.38,1252.1,40.7,166.5,19.83,45.9,89372.29,501.02
2011,Potato,Punjab,Zaid,118.52,1533.5,30.1,143.4,18.69,63.4,3090236.29,26073.54
2014,Sugarcane,Bihar,Whole Year,122.98,2308.0,19.9,216.4,12.16,94.2,12466595.76,101370.92
2011,Sorghum,Andhra Pradesh,Rabi,308.75,1553.0,32.3,196.9,1.71,82.1,436187.6,1412.75
2005,Wheat,Andhra Pradesh,Kharif,160.03,758.9,17.1,165.8,12.54,37.2,455117.08,2843.95
2023,Groundnut,Uttar Pradesh,Whole Year,338.9,1055.0,32.1,87.1,2.39,76.6,696540.2,2055.3
2020,Millet,Uttar Pradesh,Kharif,474.0,1465.7,36.8,219.6,3.21,82.7,444961.41,938.74
2023,Barley,Uttar Pradesh,Zaid,319.6,640.8,24.5,347.6,4.23,56.9,375247.08,1174.11
2008,Barley,Uttar Pradesh,Whole Year,376.08,1647.5,16.9,305.6,7.59,51.5,932371.13,2479.18
2022,Rice,Tamil Nadu,Whole Year,376.04,2498.3,33.7,302.2,12.04,68.0,1156440.82,3075.31
2006,Potato,Gujarat,Zaid,166.02,1735.6,24.2,178.1,7.0,63.7,4403276.23,26522.56
2005,Wheat,Madhya Pradesh,Rabi,8.46,1119.3,21.7,297.9,9.32,47.2,27803.66,3286.48
2019,Sugarcane,Haryana,Kharif,28.47,1029.8,33.6,212.9,1.42,55.8,2117791.37,74386.77
2009,Sugarcane,Gujarat,Zaid,141.75,2349.5,41.2,102.6,12.59,65.4,16679830.42,117670.76
2015,Sunflower,Gujarat,Whole Year,345.08,2217.3,35.1,196.7,13.31,67.7,421162.74,1220.48
2014,Maize,Haryana,Zaid,453.43,1339.2,28.3,96.5,2.44,64.6,1774999.48,3914.61
2006,Barley,Uttar Pradesh,Whole Year,479.44,1077.5,31.2,90.1,15.81,85.0,1173266.11,2447.16
2007,Potato,Gujarat,Zaid,13.9,1863.0,18.8,58.1,13.13,32.1,380561.58,27378.53
2016,Sorghum,Bihar,Rabi,495.05,991.9,37.0,149.0,10.05,51.6,534673.54,1080.04
2009,Wheat,Tamil Nadu,Whole Year,161.93,562.7,31.3,165.8,11.28,78.7,547906.65,3383.6
2009,Sugarcane,Uttar Pradesh,Zaid,421.64,982.3,41.1,294.8,10.31,72.4,21085151.73,50007.47
2010,Maize,Tamil Nadu,Rabi,90.97,1255.5,41.4,238.3,1.55,89.7,297410.86,3269.33
2013,Wheat,Rajasthan,Rabi,32.39,861.9,24.6,350.5,14.84,68.2,32972.53,1017.98
2006,Potato,Madhya Pradesh,Kharif,189.8,777.0,41.7,111.8,10.48,71.5,4092265.22,21560.93
2016,Soybean,Gujarat,Whole Year,429.6,313.5,40.8,143.1,3.87,75.8,450463.28,1048.56
2007,Sugarcane,Bihar,Kharif,111.19,1687.9,32.3,379.4,13.77,42.1,5045946.95,45381.3
2016,Soybean,Madhya Pradesh,Rabi,77.82,1651.8,24.0,205.4,14.05,79.0,131648.28,1691.7
2021,Wheat,Maharashtra,Kharif,454.99,713.7,35.3,326.2,4.66,49.5,843636.36,1854.19
2014,Potato,Tamil Nadu,Kharif,469.23,2376.0,22.3,222.3,16.03,57.6,13083981.59,27883.94
2018,Sugarcane,Rajasthan,Zaid,7.26,1201.1,32.0,214.9,9.4,30.9,565589.64,77904.91
2021,Sunflower,West Bengal,Kharif,363.99,356.1,15.7,101.8,4.02,84.8,409530.84,1125.12
2022,Soybean,West Bengal,Rabi,155.29,783.5,32.0,347.9,13.32,92.0,65423.88,421.3
2023,Cotton,Rajasthan,Kharif,187.98,1822.5,40.7,77.4,12.14,33.9,100745.96,535.94
2021,Maize,Karnataka,Whole Year,235.08,743.6,21.3,158.6,3.82,71.3,708348.62,3013.22
2018,Sorghum,Karnataka,Zaid,213.97,418.6,36.0,285.7,17.51,92.5,93082.44,435.03
2013,Barley,Uttar Pradesh,Rabi,257.97,1659.0,22.9,227.5,17.16,69.4,729755.45,2828.84
2012,Maize,Karnataka,Kharif,291.6,1440.4,34.1,358.5,16.81,81.9,398558.43,1366.8
2006,Soybean,West Bengal,Whole Year,233.33,1974.8,33.9,63.8,8.28,37.7,446715.64,1914.52
2017,Sugarcane,Bihar,Rabi,351.08,1999.8,20.0,277.3,16.58,45.9,18249496.71,51981.02
2011,Sunflower,Karnataka,Kharif,359.58,2411.9,31.1,217.1,16.97,52.5,589546.17,1639.54
2013,Cotton,Maharashtra,Zaid,220.74,425.4,38.2,104.0,19.93,93.8,87790.44,397.71
2015,Sunflower,West Bengal,Kharif,72.09,385.8,25.3,310.1,19.17,80.8,43123.99,598.2
2018,Cotton,Tamil Nadu,Rabi,320.68,2471.8,34.2,194.0,7.97,87.6,194062.99,605.16
2008,Barley,Andhra Pradesh,Rabi,386.71,1718.7,33.2,236.1,4.36,61.7,1022654.95,2644.5
2017,Sunflower,Karnataka,Rabi,319.42,1873.8,22.0,388.5,6.2,76.6,182193.22,570.39
2006,Cotton,Karnataka,Whole Year,294.44,512.3,39.8,220.2,10.15,77.6,127310.89,432.38
2009,Sunflower,Gujarat,Kharif,115.48,453.6,30.2,338.2,16.21,67.0,46867.83,405.85
2015,Maize,Haryana,Kharif,322.92,652.6,24.6,319.4,14.6,87.1,595490.48,1844.08
2010,Groundnut,Maharashtra,Kharif,168.09,1239.8,19.4,282.0,15.86,40.3,179178.87,1065.97
2022,Cotton,West Bengal,Zaid,459.86,542.4,27.8,363.9,7.91,33.7,115692.22,251.58
2014,Barley,West Bengal,Whole Year,327.21,1281.9,34.7,138.1,5.31,49.8,912292.8,2788.1
2008,Cotton,Madhya Pradesh,Whole Year,139.81,1535.4,31.8,337.3,0.97,35.7,75923.0,543.04
2013,Cotton,Punjab,Zaid,236.99,300.7,34.6,182.2,12.71,33.9,103774.04,437.88
2010,Millet,Haryana,Whole Year,423.44,551.3,36.4,334.4,16.0,57.2,58636.01,138.48
2006,Maize,Karnataka,Zaid,168.4,1125.4,26.9,222.8,17.84,43.0,449987.12,2672.13
2021,Soybean,Rajasthan,Rabi,263.19,417.3,29.0,350.2,9.79,81.4,49182.08,186.87
2009,Rice,Gujarat,Rabi,340.16,593.8,41.6,363.2,18.59,67.7,192766.86,566.69
2010,Groundnut,Madhya Pradesh,Whole Year,377.51,810.0,41.1,259.2,4.45,53.4,531894.74,1408.96
2016,Cotton,Bihar,Rabi,87.77,1245.1,26.2,227.7,10.53,48.6,52376.07,596.74
2014,Sorghum,Madhya Pradesh,Rabi,283.01,1872.6,33.5,324.1,4.67,66.6,316679.9,1118.97
2010,Cotton,Tamil Nadu,Rabi,456.19,591.9,22.2,143.4,4.17,58.2,269266.93,590.25
2012,Millet,Gujarat,Kharif,484.21,1923.5,19.1,55.4,19.09,33.6,386401.48,798.0
2006,Sunflower,Karnataka,Rabi,328.42,2181.1,35.7,192.5,16.45,73.2,497641.55,1515.26
2016,Soybean,Punjab,Kharif,491.85,1733.3,26.8,227.7,0.73,62.5,775499.43,1576.7
2017,Sorghum,Andhra Pradesh,Zaid,285.8,396.2,19.8,154.0,5.74,48.0,257204.59,899.95
2011,Groundnut,Bihar,Zaid,221.86,1269.4,35.5,184.2,4.5,48.9,441863.27,1991.63
2014,Sorghum,West Bengal,Zaid,276.24,1752.1,39.7,96.6,3.37,59.4,368119.78,1332.61
2017,Maize,Tamil Nadu,Zaid,58.74,2452.7,40.2,147.1,14.1,83.8,231042.84,3933.31
2021,Barley,Haryana,Zaid,201.46,2394.0,31.1,134.0,11.55,57.5,719620.79,3572.03
2018,Barley,Bihar,Rabi,229.74,1170.5,28.0,155.3,9.35,84.6,661122.34,2877.7
2006,Groundnut,Karnataka,Rabi,424.47,1655.0,18.8,154.7,4.2,57.6,1009658.59,2378.63
2015,Potato,Madhya Pradesh,Rabi,379.57,2259.8,36.4,245.6,5.91,83.9,9498615.5,25024.67
2005,Soybean,Maharashtra,Zaid,301.11,2128.3,40.5,137.7,7.44,90.5,496795.66,1649.88
2023,Potato,Rajasthan,Zaid,174.29,1354.7,39.0,379.3,15.82,31.3,1124560.71,6452.24
2008,Barley,Gujarat,Kharif,94.33,874.7,35.3,228.9,19.79,34.0,104724.88,1110.2
2023,Wheat,Punjab,Whole Year,174.53,601.6,15.1,95.1,4.09,38.7,512648.47,2937.31
2015,Millet,Bihar,Rabi,340.22,1373.6,26.0,147.9,7.16,37.9,327383.39,962.27
2012,Groundnut,Andhra Pradesh,Whole Year,132.26,1890.3,26.1,305.4,5.96,59.5,158720.79,1200.07
2015,Groundnut,Uttar Pradesh,Zaid,214.02,2433.5,39.1,54.8,1.36,79.7,501007.48,2340.94
2008,Rice,Madhya Pradesh,Zaid,194.0,2196.0,16.8,378.2,4.77,92.5,392452.33,2022.95
2021,Rice,Rajasthan,Zaid,383.03,749.3,29.3,205.8,18.08,57.2,797041.63,2080.89
2011,Maize,Karnataka,Whole Year,442.01,1883.5,18.7,232.4,16.94,74.8,1261007.54,2852.89
2012,Maize,Andhra Pradesh,Kharif,349.99,936.0,32.9,395.9,3.77,71.3,217501.81,621.45
2007,Rice,Madhya Pradesh,Zaid,171.46,1803.6,36.4,226.2,7.64,55.6,513105.91,2992.57
2006,Potato,Rajasthan,Kharif,217.16,1764.8,32.3,381.7,6.56,76.9,2412312.12,11108.46
2019,Barley,Rajasthan,Kharif,72.53,899.3,36.5,370.3,3.38,68.5,16351.9,225.45
2009,Sugarcane,West Bengal,Rabi,84.88,815.7,31.4,379.5,12.63,79.4,696174.75,8201.87
2005,Groundnut,Rajasthan,Whole Year,82.98,528.7,20.1,334.3,11.37,42.6,59662.84,719.0
2008,Wheat,Maharashtra,Zaid,66.16,411.2,25.3,153.7,8.83,53.4,201151.3,3040.38
2019,Groundnut,Andhra Pradesh,Kharif,90.61,2188.6,40.8,171.2,17.18,73.6,167573.74,1849.4
2023,Cotton,Karnataka,Whole Year,102.14,409.7,22.8,177.7,12.58,38.1,50112.43,490.62
2007,Soybean,Karnataka,Whole Year,56.81,495.2,16.7,392.7,5.56,80.1,16259.72,286.21
2015,Millet,Maharashtra,Zaid,320.49,825.5,25.4,176.3,7.79,38.7,292998.31,914.22
2021,Sugarcane,Haryana,Rabi,495.21,2252.8,24.9,88.0,3.43,51.1,56992185.95,115086.9
2017,Wheat,Bihar,Rabi,439.71,1032.5,27.7,322.4,12.03,45.4,718905.04,1634.95
2015,Cotton,Andhra Pradesh,Kharif,23.76,722.0,30.1,178.1,11.94,34.0,11584.83,487.58
2006,Maize,Rajasthan,Rabi,212.11,1874.2,41.8,267.3,17.47,47.6,422501.7,1991.9
2013,Wheat,Bihar,Rabi,429.8,1002.0,35.4,373.5,17.19,89.2,400933.96,932.84
2006,Potato,Punjab,Rabi,68.2,1033.4,16.0,251.4,16.82,31.8,834120.63,12230.51
2013,Rice,Tamil Nadu,Whole Year,423.97,1925.7,34.2,273.2,11.2,31.1,1347904.71,3179.25
2013,Groundnut,Andhra Pradesh,Zaid,296.76,853.6,37.3,275.0,13.21,75.8,291282.25,981.54
2012,Wheat,Uttar Pradesh,Whole Year,465.72,2272.9,39.2,264.3,15.62,53.8,1716539.68,3685.78
2021,Soybean,Punjab,Whole Year,438.14,1535.1,26.4,105.9,2.29,44.9,704183.0,1607.21
2005,Sorghum,Maharashtra,Zaid,338.84,1483.2,23.5,209.7,6.36,63.1,518182.78,1529.28
2015,Maize,Rajasthan,Whole Year,329.25,882.5,37.7,52.7,3.8,47.3,900454.74,2734.87
2012,Sunflower,Haryana,Kharif,107.37,2137.2,36.0,269.2,10.47,55.5,133153.19,1240.13
2014,Millet,Uttar Pradesh,Kharif,59.26,1560.0,29.5,251.4,16.83,76.5,36107.13,609.3
2011,Potato,Haryana,Whole Year,208.28,642.1,18.2,161.3,5.0,37.6,4541418.24,21804.39
2007,Millet,Haryana,Rabi,94.1,753.9,32.6,233.4,14.75,92.4,56924.72,604.94
2007,Wheat,Gujarat,Whole Year,52.11,1330.2,16.8,222.6,8.41,32.8,118097.8,2266.32
2022,Sorghum,Madhya Pradesh,Rabi,151.86,2015.2,17.7,137.8,18.11,82.4,193895.4,1276.8
2009,Groundnut,Madhya Pradesh,Whole Year,430.38,2366.4,23.9,152.7,12.72,77.1,1029549.5,2392.19
2016,Sunflower,West Bengal,Kharif,9.56,1759.7,25.0,316.9,19.54,48.3,6708.12,701.69
2016,Potato,Uttar Pradesh,Rabi,147.03,1413.5,27.5,314.5,5.29,37.7,2618647.83,17810.3
2023,Cotton,Tamil Nadu,Kharif,212.6,851.6,24.2,214.4,18.52,85.4,86416.94,406.48
2010,Sugarcane,West Bengal,Whole Year,255.77,1780.3,15.9,301.1,7.46,74.2,22155295.43,86621.95
2006,Groundnut,Uttar Pradesh,Zaid,91.61,2460.9,19.3,207.8,12.63,48.9,198186.59,2163.37
2016,Cotton,Haryana,Rabi,482.15,1347.7,18.1,348.0,3.9,31.1,159175.15,330.14
2023,Sugarcane,West Bengal,Rabi,289.86,656.7,26.6,166.5,15.32,91.0,15539280.32,53609.61
2009,Sorghum,Uttar Pradesh,Whole Year,261.53,527.3,20.7,374.6,19.58,56.3,48926.47,187.08
2016,Sugarcane,Tamil Nadu,Whole Year,5.4,892.4,22.9,239.8,15.85,41.5,308268.76,57086.81
2021,Groundnut,Bihar,Rabi,243.37,1552.8,27.7,237.5,12.51,89.3,407802.46,1675.65
2021,Potato,Punjab,Zaid,419.0,2383.0,21.4,284.8,9.24,53.3,8975670.53,21421.65
2014,Soybean,Bihar,Whole Year,110.6,958.2,21.6,169.3,7.23,60.1,125860.51,1137.98
2021,Wheat,Andhra Pradesh,Whole Year,176.25,971.9,37.5,303.5,8.67,75.4,396485.09,2249.56
2019,Cotton,Bihar,Whole Year,11.27,1358.6,29.8,162.1,6.9,83.3,8056.48,714.86
2016,Soybean,Bihar,Zaid,488.49,2320.8,38.1,189.1,16.74,36.5,707921.88,1449.2
2020,Cotton,Rajasthan,Rabi,34.26,1221.9,28.9,286.1,17.92,88.4,13687.57,399.52
2023,Potato,Bihar,Kharif,449.21,791.1,39.6,182.5,19.02,90.6,6535317.27,14548.47
2012,Wheat,Uttar Pradesh,Whole Year,157.18,658.9,21.9,120.0,8.66,46.9,697588.27,4438.15
2021,Barley,Tamil Nadu,Zaid,294.19,1305.4,31.7,355.2,11.15,62.3,348143.66,1183.4
2009,Sugarcane,Andhra Pradesh,Rabi,339.98,2061.5,28.6,372.8,11.75,85.8,21647813.09,63673.78
2020,Sorghum,West Bengal,Rabi,71.27,941.0,39.8,269.4,13.2,61.7,54748.4,768.18
2010,Barley,Uttar Pradesh,Zaid,222.44,1427.5,26.3,333.9,0.55,61.3,428602.34,1926.82
2012,Barley,Uttar Pradesh,Whole Year,163.41,1626.6,38.1,395.3,16.93,70.2,120360.65,736.56
2022,Millet,Maharashtra,Kharif,29.24,1291.0,30.2,265.2,5.73,79.9,24307.73,831.32
2016,Rice,Uttar Pradesh,Whole Year,416.76,721.7,34.1,368.1,9.71,73.3,166322.05,399.08
2019,Groundnut,Rajasthan,Rabi,23.54,2327.8,38.9,175.7,16.91,70.7,45111.61,1916.38
2013,Soybean,Madhya Pradesh,Kharif,326.98,1544.0,41.9,295.2,19.94,54.2,215764.97,659.87
2017,Soybean,Maharashtra,Whole Year,157.72,1904.1,34.7,69.5,16.0,71.0,234215.13,1485.01
2019,Soybean,Andhra Pradesh,Kharif,96.87,1699.3,23.5,326.1,0.98,36.7,122456.13,1264.13
2014,Potato,West Bengal,Zaid,333.88,2495.7,23.1,340.4,7.69,56.6,7109617.03,21293.93
2020,Soybean,Madhya Pradesh,Whole Year,287.69,1303.9,23.3,190.4,5.32,42.2,394587.97,1371.57
2011,Potato,West Bengal,Rabi,158.31,1234.9,17.6,273.6,19.3,64.9,2824923.23,17844.25
2021,Groundnut,Karnataka,Rabi,256.97,1092.3,16.4,350.4,5.65,47.0,227730.3,886.21
2011,Barley,Karnataka,Kharif,123.87,1095.6,30.7,359.3,18.9,62.9,96608.5,779.92
2018,Groundnut,Andhra Pradesh,Zaid,431.98,906.7,36.9,87.3,18.78,80.5,548225.88,1269.1
2019,Soybean,Gujarat,Whole Year,157.6,2457.4,16.0,339.6,16.87,58.2,146546.86,929.87
2011,Rice,Tamil Nadu,Zaid,123.33,2215.7,30.3,146.0,2.41,44.2,515569.28,4180.4
2013,Maize,Gujarat,Zaid,376.17,996.7,25.0,304.6,0.54,44.5,1243429.42,3305.5
2023,Wheat,Tamil Nadu,Kharif,9.78,971.5,39.1,163.8,15.98,88.9,19257.76,1969.1
2020,Soybean,Maharashtra,Kharif,134.74,527.8,18.9,69.7,16.94,80.8,110877.67,822.9
2012,Sorghum,Andhra Pradesh,Whole Year,188.32,2229.5,30.2,123.5,19.26,32.4,240451.42,1276.82
2022,Maize,Tamil Nadu,Rabi,441.24,1117.9,41.2,193.0,4.76,91.3,1202760.73,2725.87
2022,Groundnut,Karnataka,Whole Year,475.27,1559.8,24.3,309.4,14.8,37.3,804712.57,1693.17
2011,Sorghum,Karnataka,Zaid,358.52,2280.8,35.0,85.2,10.62,72.4,508186.21,1417.46
2007,Sorghum,Haryana,Kharif,246.77,1197.8,38.8,334.5,6.91,65.8,173836.08,704.45
2022,Cotton,Tamil Nadu,Zaid,320.67,2075.1,20.0,398.9,12.32,33.0,78577.55,245.04
2014,Sorghum,Bihar,Kharif,207.59,1246.6,41.8,325.9,11.19,49.2,39732.75,191.4
2011,Soybean,Andhra Pradesh,Rabi,150.11,1842.1,36.9,215.8,6.2,80.4,218779.96,1457.46
2021,Cotton,Madhya Pradesh,Zaid,475.39,1248.6,18.7,248.9,5.74,49.9,213803.93,449.74
2018,Millet,Punjab,Kharif,58.58,1164.1,23.4,52.2,9.99,61.2,59058.63,1008.17
2007,Barley,Maharashtra,Whole Year,173.85,2479.6,31.9,123.2,9.74,75.4,585136.75,3365.76
2016,Sorghum,Uttar Pradesh,Whole Year,449.65,1647.2,38.9,364.6,6.39,34.7,230380.95,512.36
2017,Rice,Bihar,Whole Year,361.85,1108.3,20.3,57.6,5.64,84.1,1119591.62,3094.08
2006,Sunflower,Uttar Pradesh,Zaid,15.52,867.2,34.7,366.7,19.11,32.7,1800.66,116.02
2007,Wheat,Tamil Nadu,Kharif,12.53,387.5,22.3,89.6,17.32,47.1,37399.31,2984.78
2009,Sorghum,Madhya Pradesh,Kharif,258.74,1854.4,36.7,96.6,16.43,79.6,335004.23,1294.75
2015,Potato,Bihar,Kharif,242.64,1118.7,33.5,111.4,4.68,89.3,7354608.52,30310.78
2012,Millet,Gujarat,Zaid,222.05,2106.8,29.1,329.8,4.19,79.4,210943.85,949.98
2016,Sugarcane,Maharashtra,Kharif,151.87,1100.5,32.5,217.4,16.28,44.8,10260347.75,67560.07
2011,Potato,Bihar,Rabi,493.33,1121.3,38.7,100.8,4.1,94.1,12894993.64,26138.68
2019,Groundnut,West Bengal,Zaid,136.72,2014.2,25.4,290.4,10.32,56.9,254597.28,1862.18
2021,Sunflower,Madhya Pradesh,Rabi,245.53,1376.8,35.8,379.2,4.82,54.5,69987.38,285.05
2008,Groundnut,Rajasthan,Rabi,203.04,2246.8,19.3,250.4,7.87,86.2,429787.33,2116.76
2017,Millet,Uttar Pradesh,Whole Year,85.95,1598.3,33.9,84.5,17.14,34.3,62284.22,724.66
2022,Sugarcane,Karnataka,Zaid,102.11,829.4,35.3,69.2,17.88,66.1,4231085.8,41436.55
2005,Groundnut,Maharashtra,Kharif,459.23,1550.2,27.0,328.6,19.94,92.8,314695.7,685.27
2020,Groundnut,Bihar,Rabi,429.28,308.8,36.4,269.1,18.91,36.5,291409.54,678.83
2017,Groundnut,Gujarat,Zaid,100.32,987.3,30.0,372.9,13.59,65.2,20254.56,201.9
2014,Millet,Andhra Pradesh,Kharif,437.96,757.5,40.3,241.5,8.92,38.6,305481.23,697.51
2016,Sunflower,Madhya Pradesh,Whole Year,105.38,1739.2,18.0,71.8,1.63,87.8,203615.02,1932.2
2006,Barley,Gujarat,Zaid,313.65,599.3,18.5,191.3,12.36,68.2,578278.54,1843.71
2007,Wheat,Maharashtra,Zaid,41.56,938.2,37.7,280.3,4.61,45.2,108177.14,2602.91
2014,Millet,West Bengal,Zaid,440.3,1028.9,37.7,184.7,17.08,50.0,268744.01,610.37
2006,Sugarcane,Uttar Pradesh,Kharif,26.7,307.2,27.7,399.9,11.2,63.6,265459.39,9942.3
2017,Sorghum,Madhya Pradesh,Rabi,277.92,402.9,41.0,191.9,14.8,77.1,180988.66,651.23
2017,Barley,Karnataka,Rabi,390.08,984.5,33.3,241.2,13.63,61.7,620859.72,1591.62
2022,Barley,Punjab,Zaid,59.3,789.2,41.5,128.9,7.27,42.3,123776.98,2087.3
2007,Sorghum,Andhra Pradesh,Zaid,202.84,557.2,29.4,103.2,15.3,76.0,163786.14,807.46
2011,Rice,Madhya Pradesh,Kharif,21.93,639.2,20.4,275.9,16.95,37.7,21730.94,990.92
2018,Cotton,Karnataka,Whole Year,341.69,2138.2,27.0,256.0,15.01,82.6,198219.03,580.11
2021,Wheat,West Bengal,Zaid,154.42,1803.3,41.5,51.5,15.65,55.7,393960.52,2551.23
2016,Wheat,Rajasthan,Zaid,280.14,1365.1,25.0,149.7,7.52,72.4,1185180.33,4230.67
2020,Rice,West Bengal,Whole Year,466.43,2299.5,40.8,275.3,18.9,52.4,808145.34,1732.62
2016,Cotton,West Bengal,Zaid,153.62,365.0,36.5,334.3,8.78,73.5,21578.35,140.47
2019,Wheat,Bihar,Rabi,25.27,1058.9,26.9,159.3,17.99,87.8,89373.63,3536.75
2014,Sugarcane,Uttar Pradesh,Zaid,338.14,2111.4,29.6,276.6,17.23,75.6,26941334.63,79675.09
2011,Maize,Maharashtra,Rabi,393.63,1682.2,31.4,142.8,2.92,73.6,1613248.74,4098.39
2009,Maize,Madhya Pradesh,Kharif,478.98,2459.7,33.0,291.6,19.34,79.2,1787427.55,3731.74
2005,Wheat,Maharashtra,Kharif,79.74,2377.9,17.1,294.3,19.93,62.5,232592.52,2916.89
2021,Soybean,Madhya Pradesh,Rabi,196.68,673.9,40.2,95.6,12.32,44.3,250708.55,1274.7
2007,Wheat,Karnataka,Rabi,422.23,2438.4,31.1,282.8,15.77,83.0,1300914.18,3081.06
2017,Sorghum,Rajasthan,Whole Year,403.63,2380.2,40.1,166.7,18.71,72.2,327503.83,811.4
2018,Sorghum,Bihar,Rabi,312.77,1121.9,32.1,110.4,0.89,50.4,431867.09,1380.78
2022,Potato,Rajasthan,Rabi,135.41,2462.3,26.6,225.1,18.63,47.9,3683580.52,27203.16
2008,Cotton,Gujarat,Zaid,142.73,378.9,30.3,208.3,12.73,62.5,60704.36,425.31
2022,Groundnut,Bihar,Whole Year,62.88,1753.7,37.4,320.9,16.65,43.5,43846.33,697.3
2009,Barley,Punjab,Rabi,461.0,885.5,23.8,79.6,11.04,87.1,1597790.49,3465.92
2020,Sugarcane,West Bengal,Rabi,87.29,584.8,40.8,326.4,10.85,81.3,1357330.26,15549.67
2005,Rice,Punjab,Rabi,286.87,1570.6,27.6,87.1,18.0,50.0,859767.55,2997.06
2018,Sunflower,Haryana,Zaid,292.59,974.0,40.8,122.6,10.4,33.2,340739.58,1164.56
2019,Wheat,Tamil Nadu,Zaid,185.43,1767.0,38.8,230.6,9.7,33.4,695597.86,3751.27
2013,Groundnut,West Bengal,Zaid,176.91,1488.0,35.7,212.1,12.36,49.3,255575.8,1444.67
